Summary,Issue key,Issue id,Status,Project key,Project name,Priority,Assignee,Components,,Custom field (Root Cause)
PolicyChange_CA 99 37 10 13_Need Payload,XXX-33534,212505,To Do,XXX,ANIC P&C Migration,Medium,Williams,Forms Mapping,,Coding
Stab4_PC_MEL_Audit - Audit rating group issue,XXX-33533,212504,Done,XXX,ANIC P&C Migration,High,Peter,PolicyCenter,,Requirements
Stab4-Integ- Docuid not displayed in the documents screen for submit job api.,XXX-33531,212497,Ready for Dev,XXX,ANIC P&C Migration,High,Williams,Integrations,,Coding
"Stab4_Rating_Commercial Package_Cancellation: ""CR7ApplyModifiers_PC_Ext"" and corresponding Coverage related Routine Triggered twice(Duplicated) in Rateworksheet with Schedule Mod added but no impact on Premium",XXX-33530,212485,Ready for Dev,XXX,ANIC P&C Migration,Low,John,Rating,,Coding
Issues_CG-708 03 24_Data Element missing,XXX-33529,212484,Blocked,XXX,ANIC P&C Migration,Medium,Williams,Forms Mapping,,Coding
Prod | ANICVoluntaryPremium monthly OF job failed on 8/4,BBB-8055,212483,Done,BBB,EDW Production Operations,Medium,Williams,,,Coding
Stab4_Rating_Commercial Output_Submission - Getting Invalid Quote during Quote,XXX-33528,212482,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
Prod | GWPC Stage to EDW balance failed on 4/8,BBB-8054,212481,Done,BBB,EDW Production Operations,Medium,Williams,,,Coding
Stab4_Rating_Commercial Package_Reinstatement: Modifier Value Inconsistent in DB resulting in New(Changed) Mod factor value Not updated in Rateworksheet and premium during all Subsequent Transactions,XXX-33527,212473,Done,XXX,ANIC P&C Migration,Very High,Williams,Rating,,Coding
Stab4_Rating_Commercial Package_Reinstatement: Rules Modifier Reinsurance Modifier Other Modifier & Schedule Modifier are Editable during Policy Reinstatement for all 3 Lines(CP Crime & GL),XXX-33526,212472,Ready for Dev,XXX,ANIC P&C Migration,Medium,Peter,PolicyCenter,,Coding
Stab4_Rating_Crime_Reinstatement: Render Exception on Click on Cost Change Detail Tab,XXX-33525,212471,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
Stab4_Rating_Commercial Output_Policy Change - TotalStatePremium is not calculated correctly.,XXX-33524,212470,Done,XXX,ANIC P&C Migration,High,Williams,Rating,,Coding
Stab4_Rating_Commercial Output_Renewal - Spoilage limit is NOT updated in the Building screen.,XXX-33523,212469,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Environment
Stab4_Rating_Commercial Output_Reinstaement- Premium mismatch between Cancellation and Reinstatement transaction,XXX-33522,212468,Done,XXX,ANIC P&C Migration,Very High,Williams,Rating,,Coding
PROD | GWPC Duplicates on Policy table on 08/03 data,BBB-8053,212467,Done,BBB,EDW Production Operations,Medium,David,,,Coding
Stab4_Rating_Commercial Output_Submission - Null is displayed in the rating worksheet.,XXX-33521,212466,To Do,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
PROD | GWCM Stage to EDW failed due to Balance Failure - 03/08/2024,BBB-8052,212465,Done,BBB,EDW Production Operations,Medium,Williams,,,Coding
UAT1 - IM 7479  Requirements state a freeform table with multiple entries there is no table,XXX-33518,212458,Done,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
Missing rows in AccessLayer on DerivedTables,BBB-8051,212443,New Item,BBB,EDW Production Operations,High,Martin,,,Coding
CMS Quarterly reporting Mitchell and CMS acknowledgments integrations: update logic to handle duplicate original claim numbers while processing acknowledgment records.,CC-5261,212442,In Dev,CC,Claim Center,Medium,Williams,ClaimCenter,,Coding
GL/SL - 2 Claims Where GWCC and EDW Don't Match,BBB-8050,212441,New Item,BBB,EDW Production Operations,Medium,Martin,,,Coding
CMS Query and Quarterly reporting integrations: update gender mapping for new gender types.,CC-5260,212440,In Dev,CC,Claim Center,Medium,Williams,ClaimCenter,,Coding
UAT1 - IM 7473 Additional Insured Endt - In UI Zip Code has a comma,XXX-33517,212435,To Do,XXX,ANIC P&C Migration,Low,Martin,PolicyCenter,,Coding
Stab4_Automated payment message is sent twice to Hi marley,XXX-33516,212427,Cancelled,XXX,ANIC P&C Migration,Medium,Williams,ClaimCenter,,Coding
Issues_PC-708 03 24_Data Element missing,XXX-33515,212426,Blocked,XXX,ANIC P&C Migration,Medium,Williams,Forms Mapping,,Coding
Audited premium subtotal field  should not come under Rating group screen as per the requirement in Premium report and in Final Audit ,YYY-16529,212419,To Do,YYY,ANIC WC Migration,Medium,Peter,Jasper,,Coding
Stab 4_-CPP_CP+Crime -UW Company selected at quote screen on submission is not retained after edit & requote,XXX-33514,212418,Cancelled,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
DIM_DerivedClaimType - Reprocess 3 claims,BBB-8042,212415,Done,BBB,EDW Production Operations,Medium,Andrea,,,Coding
UAT1 - application error when selecting Replacement Cost for Building Coverage - COP,XXX-33512,212414,Done,XXX,ANIC P&C Migration,High,Peter,PolicyCenter,,Coding
Issues_IM 7498 04 18_Data Element missing in payload,XXX-33511,212408,In Dev,XXX,ANIC P&C Migration,Medium,Williams,Forms Mapping,,Coding
Issues_IM 7489 04 18_Need Payload,XXX-33510,212407,Blocked,XXX,ANIC P&C Migration,Medium,Williams,Forms Mapping,,Coding
Issues_IM 7850 01 12_Need Payload,XXX-33509,212406,Ready for Dev,XXX,ANIC P&C Migration,Medium,Williams,Forms Mapping,,Coding
Issues_CO 1077 04 02_Need Payload,XXX-33508,212405,Ready for QA,XXX,ANIC P&C Migration,Medium,David,Forms Mapping,,Coding
Stab3: After CA7 Vehicle import Size Class is getting updated correctly but after VIN Validation is Done on Click of Next. Vehicle Size Class is getting updated to 2/Small/Large which aren’t the correct values for Size Class Typelist.,XXX-33507,212404,Ready for QA,XXX,ANIC P&C Migration,High,Williams,Integrations,,Coding
Jasper CE - Loss Run Subcribtion (EXCEL) record is not available on Electronic Notification Section.,YYY-16528,212403,Done,YYY,ANIC WC Migration,Medium,Williams,Jasper,,Coding
Stab3-CA7 Vehicle Screen: For Truck and Zone Rate Truck Employee As Lessor should be Optional & Available for Selection under Vehicle Level Additional Coverage if ‘Vehicle Is Owned Or Leased’ = Leased six months or more.,XXX-33506,212402,Done,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
Stab4_Integ_DocManagement_The Guidewire is not sending correct File type for 'JPEG' and 'RTF' to ImageNow.,XXX-33505,212401,Cancelled,XXX,ANIC P&C Migration,Medium,Williams,Integrations,,Not a Defect
Stab3_PC_CP_Renewal_Able to issue Renewal When CA is added on Renewal & UWC is not ANIC,XXX-33504,212399,Ready for Dev,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
Stab3_CA7 Vehicle Screen: Few Vehicle Level attributes as mentioned in description aren’t available for Truck & Zone rated Truck,XXX-33503,212398,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
Issues_CA 1265 CP 03 24_Need Payload,XXX-33502,212397,Ready for QA,XXX,ANIC P&C Migration,Medium,Williams,Forms Mapping,,Coding
Stab4_Rating_Commercial Auto_Submission_ Vehicle is removed after we quote the submission,XXX-33501,212396,Done,XXX,ANIC P&C Migration,Very High,Williams,PolicyCenter,,Not a Defect
Spacing/format issues in Form number/Edition Date,XXX-33500,212395,Blocked,XXX,ANIC P&C Migration,Medium,Williams,Forms Mapping,,Coding
Form number missing in payload ,XXX-33499,212394,To Do,XXX,ANIC P&C Migration,Medium,Williams,Forms Mapping,,Coding
Stab4-Integ-Unable to finalize interactive type document at account level.,XXX-33498,212393,In Dev,XXX,ANIC P&C Migration,High,Williams,Integrations,,Coding
GWCC - Postgres Vs Landing Comparison - 07/31 through date,DDD-5818,212389,Selected for Development,DDD,EDW QA COE,Medium,Andrea,,,Coding
Jasper - GW Ticket #793017  Update Submission Intake Iframe - digital deployment(Tracking Defect),YYY-16527,212388,In Dev,YYY,ANIC WC Migration,Medium,Williams,Jasper,,Coding
stab4-IM-Trip Transit-Schedule Vehicle Endorsement-Limits - Should be Prefill with Owned Vehicle  amount  from Trip Transit Schedule of Coverages but currently blank,XXX-33497,212386,Done,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
Stab4-IM-Transit-Coverage Extension tab is not available for Trip Transit coverage part,XXX-33496,212385,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
UAT1 - Form IM 7484  - form inferring when 2 or less terminals are listed in table.,XXX-33495,212368,In UAT,XXX,ANIC P&C Migration,Low,Williams,PolicyCenter,,Coding
Unable to select a line item value on Other Indemnity Overpayment Recovery. ,CC-5258,212366,Ready for Dev,CC,Claim Center,Medium,Peter,ClaimCenter,,Coding
UAT1 - IM 7474 Table should allow maximum of 6 items after 5 listed excluded which totals to 11 - form only has 10 fields,XXX-33494,212365,To Do,XXX,ANIC P&C Migration,Low,Martin,PolicyCenter,,Coding
When updating Time of Injury on Loss Details policy is being changed to Unverified.,CC-5257,212364,Ready for Dev,CC,Claim Center,Medium,John,ClaimCenter,,Coding
UAT1 - IM 7466 - Table should allow maximum of 10 rows (in addition to first 5 items),XXX-33493,212363,To Do,XXX,ANIC P&C Migration,Low,Martin,PolicyCenter,,Coding
UAT1 - Correct Form # for IM 7407 Schedule Of Coverages - Fine Arts Comprehensive Form,XXX-33492,212361,In UAT,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
GL/SL - BusinessSource is not popoulating for GL Account 155510,BBB-8031,212358,New Item,BBB,EDW Production Operations,Medium,Martin,,,Coding
LTI - IVANS TX and standard premium fix impacting CA standard premium,EEE-1819,212351,In Dev,EEE,PolicyCenter,Very High,Peter,PolicyCenter,,Coding
Issue_CG 26 95 10 08 MO Changes - Amendment of Definition of Pollutants,XXX-33491,212345,Ready for Dev,XXX,ANIC P&C Migration,Medium,Williams,Forms Mapping,,Coding
Issues_CG 24 17 10 01 and CG 26 02 04 13,XXX-33490,212344,Ready for Dev,XXX,ANIC P&C Migration,Medium,Williams,Forms Mapping,,Coding
Do not require reopening claim for payments loaded via Corvel if within thresholds,CC-5256,212343,Ready for Dev,CC,Claim Center,Medium,Williams,ClaimCenter,,Coding
Stab4_Rating_IM_Audit-XXX-29346 - Incorrect basis and rate on premium screen during interim audit,XXX-33489,212342,In Dev,XXX,ANIC P&C Migration,Medium,John,Rating,,Coding
Reload SubLedger Due To Issue When We Recreated The 7-2-24 File,BBB-8030,212341,Done,BBB,EDW Production Operations,Medium,David,,,Coding
Issues_PC-001 03 24 PC-013 03 24 PC-019 03 24_Need Payload,XXX-33488,212340,Requirements,XXX,ANIC P&C Migration,Medium,Williams,Forms Mapping,,Coding
CP DWH - Load missing Billing transactions from May and June into billing related tables,BBB-8029,212339,Done,BBB,EDW Production Operations,High,Martin,,,Coding
Requirements/Issues in 'CG-810 03 24 - Test/Check Audit Report - GL',XXX-33487,212338,In Dev,XXX,ANIC P&C Migration,Medium,Williams,Forms Mapping,,Coding
Audit not picking up extended policy period,EEE-1818,212337,To Do,EEE,PolicyCenter,Medium,Williams,PolicyCenter,,Coding
Assign EDI Error Activities to Claim Adjuster,CC-5255,212336,In Dev,CC,Claim Center,Medium,Williams,ClaimCenter,,Coding
Policy change logic fix for CG,XXX-33486,212335,Ready for Dev,XXX,ANIC P&C Migration,Medium,Williams,Forms Mapping,,Coding
Stab4_Rating_Commercial Umbrella_Renewal_CO - Getting Render Exception while click on Edit Policy transaction for CA,XXX-33485,212334,Done,XXX,ANIC P&C Migration,Very High,Williams,PolicyCenter,,Coding
Prod| AL_UW_RES job failed on 08/01,BBB-8028,212333,New Item,BBB,EDW Production Operations,Medium,Williams,,,Coding
Stab4_PC_CU_Ovveride layers are not coming in sequence,XXX-33484,212332,Ready for Dev,XXX,ANIC P&C Migration,Medium,Peter,PolicyCenter,,Coding
LTI - California Renewals for 11/01 & later not carrying forward rejecting owners,EEE-1817,212331,Ready for Dev,EEE,PolicyCenter,Very High,Williams,PolicyCenter,,Coding
UAT1 - IM 7455 - Coverages spelled incorrectly on form screen,XXX-33483,212330,Done,XXX,ANIC P&C Migration,Low,Williams,PolicyCenter,,Data
Stab4_PC_CU_Underlying WC coverage details are coming ediatble ,XXX-33482,212323,Done,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
Stab4_PC_CU_Renewal- Premium Adjustment Modifier should not reset to No during renwal transaction,XXX-33481,212321,Ready for Dev,XXX,ANIC P&C Migration,Medium,Peter,PolicyCenter,,Coding
Stab4_Rating_Commercial Umbrella_Submission_CO - Incorrect Proration value is displayed in the Quote during mid term cancellation,XXX-33480,212319,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
Prod | ANIC Reinsurance Monthly Output job failed on 8/1,BBB-8027,212317,Selected for Development,BBB,EDW Production Operations,Medium,Martin,,,Coding
Stab4_PC_CU_Rewrite/Renewal- Changes made are not reflecting on Policy review difference screen ,XXX-33479,212316,To Do,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
Stab4-  XXX-31569_CPP_Crime +GL_NB_ _GL 672 CP DED. LIAB. INS.-DEFENSE COST WITHIN DED-is inferred without satisfying the conditionas Defense Cost Within Deductibles not visible in UI to select for ID location,XXX-33478,212315,Ready for Dev,XXX,ANIC P&C Migration,Medium,Peter,PolicyCenter,,Coding
Stage to EDW CorvelTPA Loss Inc |  Job failure | ,DDD-5817,212314,New Item,DDD,EDW QA COE,Medium,Williams,,,Coding
Stab4_PC_MEL_PolicyChange - Alternate Employer Endorsement forms is not getting triggered for policy change when this coverage is added the first time,XXX-33477,212311,Done,XXX,ANIC P&C Migration,Medium,Peter,PolicyCenter,,Coding
Unable to issue policy change in QA environment - all 3 type of policies,YYY-16526,212310,Ready for Dev,YYY,ANIC WC Migration,Very High,Peter,Jasper,,Coding
Stab4_PC_MEL_NewSubmission - invalid quote issue,XXX-33476,212307,Done,XXX,ANIC P&C Migration,Medium,Peter,PolicyCenter,,Coding
3.1 P&C | ODS RiskPC Table - PClocationid column data poluplating wrongly for Composite Groups - GL,AAA-6009,212305,Development,AAA,AAA,Medium,Williams,,,Coding
Stab4_PC_MEL_NewSubmission - AK forms are not getting triggered,XXX-33475,212303,Done,XXX,ANIC P&C Migration,High,Peter,PolicyCenter,,Coding
Jasper-AAA- Control records not stored into Integration database.,YYY-16525,212301,Done,YYY,ANIC WC Migration,Medium,Martin,Integrations,,Coding
3.1 P&C | ODS Detail Coverage Table - Auto - STHired - Additional records loaded with sum(AddlRetPremAmt) = 0,AAA-6007,212300,In Test,AAA,AAA,Medium,Peter,,,Coding
Stab4_CC_Charge pattern value of bulk invoice should not be empty for IA fees checks ,XXX-33473,212294,In Dev,XXX,ANIC P&C Migration,High,John,ClaimCenter,,Coding
Resident Agent Countersignature Endorsement form not retired as per requirement,XXX-33472,212293,Done,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
Stab4_PC_CP_NewSubmission_Blocking Quote when  MLPDC added with Earthquake & Blanket added & limit is read only & set to '0' . & full Building value satisfy the condition >= $50000,XXX-33471,212292,Done,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Coding
Rating-XXX-31531-GL: [Change Log] Unmanned Aircraft rate tables updated values are not matching in UI,XXX-33470,212291,Done,XXX,ANIC P&C Migration,High,Williams,Rating,,Coding
DIM_BLANKET Table - PolicyLine_Groupkey and PolicyLine_SKey fields are populated incorrectly,AAA-6006,212290,New Item,AAA,AAA,Medium,Martin,,,Coding
Jasper CE - Loss run Header Bar is incorrect/ CC Payment notification bar cross mark needs to be removed.,YYY-16524,212285,In QA,YYY,ANIC WC Migration,Low,Williams,Jasper,,Coding
CorveTPA claims is not getting processed through include capability on Prod,BBB-8022,212283,In Test,BBB,EDW Production Operations,Medium,Williams,,,Coding
Stab 4_XXX-31555-CPP_CP+Crime +GL-At cancellation- Cancellation Effective Date is not displayed correctly as per req for FL when we select reason as  Underwriting reasons,XXX-33469,212282,Done,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Coding
Stab 4_PC_CA_ - New Submission - Rating Base on Auto Dealers screen is defaulting to 'Not Applicable' (read only) when submission is in draft and is changing to 'Legal Liability' after issuance,XXX-33468,212273,Done,XXX,ANIC P&C Migration,High,David,PolicyCenter,,Coding
Stab4_Rating_General Liability_NB_ApplySizeModifier routine is triggered twice for Designated Location,XXX-33467,212272,To Do,XXX,ANIC P&C Migration,Medium,Peter,Rating,,Coding
Stab4_Integ_PC-BC_Charge group is empty for CIM  MN premium surcharge ,XXX-33466,212271,Ready for Dev,XXX,ANIC P&C Migration,Medium,Williams,Integrations,,Coding
LTI - IVANS: (ADP Issue)Getting Stuck AL3 message -The message queue has a null pointer exception,EEE-1815,212270,Ready for QA,EEE,PolicyCenter,Critical,Martin,PolicyCenter,,Coding
Stab4_Rating_Commercial Output_Submission_WA - Getting Render Exception on click of show Rating Worksheet button.,XXX-33465,212268,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Environment
3.1 P&C | ODS Detail Coverage Table - Auto - STHired - The column PremiumAmount is not populated as expected,AAA-5995,212258,Development,AAA,AAA,Medium,Williams,,,Coding
3.1 P&C | ODS_DetailCoverageInland table - Extra records coming from the ODS_DetailCoverageInland table,AAA-5993,212245,Done,AAA,AAA,Medium,Martin,,,Coding
Data Fix - Business Group Update 2 Records for 7/31 Data,BBB-8017,212234,Done,BBB,EDW Production Operations,Critical,Williams,,,Coding
Pricing Model not working for NB Submission,EEE-1795,212232,To Do,EEE,PolicyCenter,High,Williams,PolicyCenter,,Coding
UAT1 - Form 7489 04 18 Sched Veh and Newly Acqd Veh Endt - issues,XXX-33463,212227,To Do,XXX,ANIC P&C Migration,Low,Williams,PolicyCenter,,Requirements
UAT1 - Proration Factor Missing in Payload for Policy Changes,XXX-33456,212220,Ready for Dev,XXX,ANIC P&C Migration,High,Williams,SmartCOMM,,Coding
Application error occurred when user trying to move charges to a future invoice,ZZZ-1426,212214,To Do,ZZZ,BillingCenter,Critical,Williams,BillingCenter,,Coding
Stab3-GL Composite Rating: Total Exposure Premium for respective Group ID should be ‘Sum of Exposure Premiums belonging to same Composite Group ID’ but excluding ‘Sum Of Exposure Level Terrorism Premiums & Manuscript Premiums.’,XXX-33455,212213,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
Stab3-GL Composite Rating: Total Exposure & Total Exposure Premium under Calculated Policy Exposure Premium section of Composite Rate Endorsement should not be displayed for the Exposure without any Composite Group ID tagged.,XXX-33454,212212,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
Stab3-GL Composite Rating: If 2 MidTerm PolChange are done on same eff datethen on 2nd MidTerm PolChange Composite Rate/Basis/Measure are editable.Ideally these attributes should be non-editable during Mid-Term PolChange for existing Composite Schedules.,XXX-33453,212211,Ready for Dev,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
Stab3-GL Composite Rating: When ‘Measure’ = ‘Other’ then ‘Other Measure’ should be non-editable during MidTerm PolChange for Existing Composite Rate Endorsement Schedules. Same should be implemented for ‘Other Rating Basis’ when ‘Rating Basis’ = ‘Other’.,XXX-33452,212210,Ready for Dev,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
PE: Policy View Summary tile Incorrect cancellation date showing if account has prior cancellations,GGG-1408,212208,To Do,GGG,GW Cloud Digital,Medium,Williams,,,Coding
Issues_IM 7856 01 12 Property Excluded,XXX-33451,212203,In Dev,XXX,ANIC P&C Migration,Medium,Williams,Forms Mapping,,Coding
Non Printable Characters in GlobalTypeList,BBB-8016,212200,New Item,BBB,EDW Production Operations,Medium,David,,,Coding
Issues_IM 7032 01 12 Equipment Schedule - Income Coverage - Contractors' Equipment,XXX-33450,212199,In Dev,XXX,ANIC P&C Migration,Medium,Williams,Forms Mapping,,Coding
CLONE - E-Mail Notification Issues from Salesforce,FFF-548,212198,Development EDW,FFF,XYC Crop - ESB - Support,Medium,Martin,,,Coding
UAT1 - Cannot generate payload for COP submission,XXX-33449,212195,Done,XXX,ANIC P&C Migration,High,Peter,PolicyCenter,,Coding
UAT1 - COP forms not generating on Forms Screen or in payload,XXX-33448,212193,Done,XXX,ANIC P&C Migration,Very High,Peter,PolicyCenter,,Coding
CC-Config-PSR- Adjusters can open exposures on Coverages that are not available on the policy (All lines),XXX-33447,212192,Requirements,XXX,ANIC P&C Migration,Critical,David,ClaimCenter,,Coding
Add new states of TX and OK to EDI Reporting ,CC-5254,212191,In Dev,CC,Claim Center,Medium,Williams,ClaimCenter,,Coding
Update EDI Gross Weekly Wage Amount for AK and ID ,CC-5253,212184,In Dev,CC,Claim Center,Medium,Williams,ClaimCenter,,Coding
UAT1 - Auto - Covered Vehicle Symbols Not Keeping Overridden Selections,XXX-33446,212178,In UAT,XXX,ANIC P&C Migration,Very High,Peter,PolicyCenter,,Coding
"Stab4_Rating_Commercial Package_New Submission_""Other Mod"" not applied for applicable coverages(Commercial & Government) in Crime LOB",XXX-33445,212177,Done,XXX,ANIC P&C Migration,High,Williams,Rating,,Coding
LTI - IVANS issue with TX and premium Incentive,EEE-1794,212168,To Do,EEE,PolicyCenter,Very High,Peter,PolicyCenter,,Coding
Stab4-XXX-31554_CPP_CP+Crime +GL_FL base state Earthquake Cause of Loss Form-is not dispalyed as per req,XXX-33441,212162,Ready for Dev,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
Mid Term location change blockd by 'Effective Date and Base State combination is not valid.' error,EEE-1793,212161,To Do,EEE,PolicyCenter,High,Williams,PolicyCenter,,Coding
Prod| AAA-DL-GL Load ErrorCorrected Tables job failed on 07/31,BBB-8014,212160,Done,BBB,EDW Production Operations,Medium,Williams,,,Coding
"Jasper upgrade_CC_WC_""Potential TPA claim"" activity is not generating",YYY-16523,212158,Done,YYY,ANIC WC Migration,Medium,Peter,ClaimCenter,,Environment
AL - Duplicate Value Populated in DIM_PREMIUMTRANSACTION table,AAA-5971,212155,Invalid/Duplicate,AAA,AAA,Medium,David,,,Coding
Stab4_Rating_Commercial Auto_CA7ExperienceModlia_PC_Ext routine are applied for the below coverages ,XXX-33440,212154,Requirements,XXX,ANIC P&C Migration,High,Peter,Rating,,Coding
Stab 4_BC CPP_Payment Request Amount is getting incorrectly auto updated at 'Draft status' for Billed Invoice,XXX-33439,212150,To Do,XXX,ANIC P&C Migration,Medium,David,BillingCenter,,Coding
Stab4_Rating_Commercial Output_Submission_CA - LCM is incorrectly applied for Blanket Spoilage coverage,XXX-33437,212147,Done,XXX,ANIC P&C Migration,High,Williams,Rating,,Coding
Stab4-Integ-Document name not displayed in the BC because not stored in imagenow.,XXX-33430,212137,Ready for Dev,XXX,ANIC P&C Migration,High,Williams,Integrations,,Coding
Jasper PE - Unable to see policies in Policies In Force tab,YYY-16522,212136,Done,YYY,ANIC WC Migration,Medium,Williams,Digital,,Coding
Update typecode in BC for Mountain point underwriting company to match with PC,ZZZ-1421,212130,Done,ZZZ,BillingCenter,Medium,Martin,,,Coding
Prod | Duplicate in Claimant and  ClaimSourcedControlAmount table while running GWCC LandingtoStage job on 7/31,BBB-8012,212128,Done,BBB,EDW Production Operations,Medium,Williams,,,Coding
Stab4_PC_MEL_NewSubmission - large ded coverage is not coming in line cov screen,XXX-33429,212127,Done,XXX,ANIC P&C Migration,Low,Peter,PolicyCenter,,Coding
AAA 3.1 | GL | ODS-DetailCoverage :Data Populating incorrectly for LineofInsurance='UMB',AAA-5959,212109,Done,AAA,AAA,Medium,David,,,Coding
Stab4-XXX-31554_CPP_CP+Crime +GL_FL(Hi added)-Risk FL-Building -Additional Coverage -cover term (DESCRIBED PREMISES)is capital letter for Windstorm Protective Devices,XXX-33417,212105,Ready for Dev,XXX,ANIC P&C Migration,Low,Williams,PolicyCenter,,Coding
CDA PROD | Error in PC DBzone for task pcx_servicetype_ext_aurora_data_copy | 07/30,BBB-8007,212099,Done,BBB,EDW Production Operations,Medium,Williams,,,Coding
Issue_IM 7095 07 20 Equipment Breakdown and Testing Schedule,XXX-33412,212089,In Dev,XXX,ANIC P&C Migration,Medium,Williams,Forms Mapping,,Coding
Data Fix - RBBBrtedBusinessGroupCode & BusinessGroup - Need To Update <none> and ? Records,BBB-8001,212088,Done,BBB,EDW Production Operations,Critical,Williams,,,Coding
365,EEE-1792,212087,To Do,EEE,PolicyCenter,Medium,Williams,,,Coding
Several Cancellation Reasons for Carrier Source are missing,EEE-1791,212086,To Do,EEE,PolicyCenter,Medium,Williams,PolicyCenter,,Coding
E-Mail Notification Issues from Salesforce,FFF-537,212085,Done,FFF,XYC Crop - ESB - Support,Medium,Martin,,,Coding
Prod| GL Paid Loss - 88 records errored out on 07/30,BBB-8000,212068,Done,BBB,EDW Production Operations,Medium,Martin,,,Coding
UAT1 - Form 7455 Motor Truck Cargo Legal Liab Cvg - Sched of Cvgs,XXX-33411,212067,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
Update ANIC Agency Lookup Table (ANICAgencyMapping) - Agency U05,BBB-7999,212055,Done,BBB,EDW Production Operations,Critical,David,,,
Incoming Mail  Legal Hearing Docs with In-House Attorney should go to Legal Queue,CC-5251,212054,Requirements,CC,Claim Center,Medium,John,ClaimCenter,,Coding
CE: Loss Run Subscription (Excel) E-Notification button missing in User Admin/My Profile pages for CE users,GGG-1389,212053,To Do,GGG,GW Cloud Digital,Medium,Williams,,,Coding
Stab4_CC_FNOL Reference Number field is not displayed for IM and CPP LoBs during FNOL,XXX-33410,212052,Done,XXX,ANIC P&C Migration,Medium,John,ClaimCenter,,Coding
Data Fix - ANIC Claims with 2 claims source system codes As of 7/30/2024,BBB-7998,212051,Done,BBB,EDW Production Operations,Very High,David,,,Coding
Stab4_Integ_ODS_Need to have the state level and the composite level coverages from ODS tables in the CC.,XXX-33409,212050,Ready for Dev,XXX,ANIC P&C Migration,Critical,Williams,ClaimCenter,,Coding
Stab4_CC_Initial Workplan activities are not triggered correctly for GLIMCOPCPPCU,XXX-33408,212049,In QA,XXX,ANIC P&C Migration,Very High,John,ClaimCenter,,Coding
UAT1 - Inland Marine - 4 Coverage Parts are missing their CovTerms in the Payload,XXX-33402,212039,In UAT,XXX,ANIC P&C Migration,Very High,Peter,PolicyCenter,,Coding
Stab4_Integ_CC_author field and created on field in documents screen for Hi marley sent images is empty,XXX-33401,212038,Done,XXX,ANIC P&C Migration,High,John,ClaimCenter,,Coding
Prod | corvelTPA stage to EDW balance failed on 7/30,BBB-7996,212036,Done,BBB,EDW Production Operations,Medium,Williams,,,Coding
3.1 P&C | ODS - Default Keys - RI failure in DetailedCoverage Table,AAA-5946,212034,Analysis,AAA,AAA,Medium,Martin,,,Coding
Stab3_PC Config_CA7 Large Deductible: Validation w.r.t. Minimum & Maximum value of ‘Deductible Credit Factor’ & ‘Loss Adjustment Fee Factor (%)’ is there at screen level. Validation should throw Quote Level as well.,XXX-33400,212033,Done,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
3.1 P&C | ODS Detail Coverage Table - Auto - STHired - Records got dropped,AAA-5944,212030,In Test,AAA,AAA,Medium,Williams,,,Coding
Stab4_Integ_WC- Email functionality not available in quote screen for Workers compensation.,XXX-33398,212027,Ready for QA,XXX,ANIC P&C Migration,High,Martin,Integrations,,Requirements
Commercial Auto: Medical Coverage and Trailer Interchnage Coverage Symbol is not coming in payload,XXX-33397,212020,Ready for Dev,XXX,ANIC P&C Migration,Medium,Williams,Forms Mapping,,Coding
Commercial Auto: Vehicles details need to be sent in ascending order by vehicle number under each vehicle types node in the payload.,XXX-33396,212019,To Do,XXX,ANIC P&C Migration,Medium,Williams,Forms Mapping,,Coding
